Lake,Year,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Mean.Total,Group
Bighorn,1966,0,0,0,0,0,0,0,0,3.300325313,0,0,3.300325313,a
Bighorn,1968,0,0,0,0,0,0,0.122748076,0,0.128869846,0,0,0.251617921,a
Bighorn,1971,0,0,0,0,0,0,0.046644269,0,0,0,0,0.046644269,a
Bighorn,1972,0.233039501,0,0,0,0,0,0,0,0,0,0,0.233039501,a
Bighorn,1977,0.388399169,0,0.000216591,0,0,0,0.339705299,0,0,0,0,0.728321059,a
Bighorn,1991,0.005419966,0,0,0.020198496,0,0,0.001653838,0,0.058230224,0,0,0.085502524,a
Bighorn,1992,0.000912049,0,1.22565E-05,0.007529188,0.007387865,0,0.003865847,0,0.050819104,0.003000423,0,0.073526734,a
Bighorn,1994,0.083205824,0,0,2.088408659,0.038786291,0,0.00868265,0,0.022233358,0,0,2.241316783,a
Bighorn,1995,0.009419527,0,0,0.75052978,0,0,0,0,0,0,0,0.759949307,a
Bighorn,1996,0.001046614,0,0,4.973801226,0,0,0,0,0,0,0,4.974847841,a
Bighorn,1997,0.044146184,0,0,1.556236929,0,0,0.604486108,0,0,0,0,2.204869221,b
Bighorn,1998,0,0,0,7.295494069,6.826387232,0,6.187256542,0,0,0,0,20.30913784,b
Bighorn,1999,0.016745826,0,0,0.798480093,4.303431345,0,0.837255556,0,0,0,0,5.955912821,b
Bighorn,2000,0,0,0,0.272812423,16.96900235,0,0.976798149,0,0,0,0,18.21861293,b
Bighorn,2001,0.005562007,0,0,1.648583391,22.8152046,0,1.962940484,0,0,0,0,26.43229048,b
Bighorn,2002,0.001148285,0,1.1206E-05,1.251567351,25.86003927,0,0.276372891,0,0.032524227,0.000783784,0,27.42244701,b
Bighorn,2003,0.001255937,0,0,1.442650433,4.363642445,0,0.831673853,0,0.030491463,0,0,6.66971413,c
Bighorn,2004,0.017583118,0,1.28402E-05,1.361991588,5.441901337,0,0.487386099,0.000943235,0.393001074,0,0,7.702819291,c
Bighorn,2005,0.000478452,0,0,0.025968193,13.21426364,0,0,0,1.15020573,0,0,14.39091601,c
Bighorn,2006,0.005023748,0,1.86766E-05,0.014981155,29.29140703,0,0,0,9.025472949,0,0,38.33690356,c
Bighorn,2009,0,0,0,0,2.878723429,0,0,0,3.614642009,0,0,6.493365438,c
Bighorn,2013,0.000717678,0,0,0,4.344064602,0,0,0,0.426880477,0,0,4.771662758,c
